19/01/2023 17:29:56 => x_odom : 0.3462172949321242 , y_odom : -0.06300924922730604
19/01/2023 17:29:56 => x_odom : 0.34957991422791646 , y_odom : -0.06439824317002468
19/01/2023 17:29:56 => x_odom : 0.3530573123706814 , y_odom : -0.0658523898494904
19/01/2023 17:29:56 => x_odom : 0.3531515211484394 , y_odom : -0.06589228501021985
19/01/2023 17:29:56 => x_odom : 0.356524284303255 , y_odom : -0.06732105430680571
19/01/2023 17:29:56 => x_odom : 0.35997363407508903 , y_odom : -0.06880005578247299
19/01/2023 17:29:56 => x_odom : 0.3634312919204598 , y_odom : -0.07030095920084717
19/01/2023 17:29:56 => x_odom : 0.36356542665088476 , y_odom : -0.07035990186799884
19/01/2023 17:29:56 => x_odom : 0.36690094812567575 , y_odom : -0.07182632092691713
19/01/2023 17:29:56 => x_odom : 0.3703347597627307 , y_odom : -0.0733537748247825
19/01/2023 17:29:56 => x_odom : 0.37048394157250414 , y_odom : -0.07342093679972189
19/01/2023 17:29:56 => x_odom : 0.37374981322020007 , y_odom : -0.07489200503152771
19/01/2023 17:29:56 => x_odom : 0.3771550963676483 , y_odom : -0.0764433847646077
19/01/2023 17:29:56 => x_odom : 0.3805779831264848 , y_odom : -0.07802125071807182
19/01/2023 17:29:56 => x_odom : 0.3807596827385961 , y_odom : -0.07810597390643717
19/01/2023 17:29:56 => x_odom : 0.38390601282153947 , y_odom : -0.0795740014431762
19/01/2023 17:29:56 => x_odom : 0.38722681413180604 , y_odom : -0.08114086660425633
19/01/2023 17:29:56 => x_odom : 0.387482607793197 , y_odom : -0.08126298463599486
19/01/2023 17:29:56 => x_odom : 0.39053474403216454 , y_odom : -0.08272141653661069
19/01/2023 17:29:56 => x_odom : 0.3938630850899445 , y_odom : -0.08432900104661904
19/01/2023 17:29:56 => x_odom : 0.3939771910561161 , y_odom : -0.08438476005705613
19/01/2023 17:29:56 => x_odom : 0.3971582627316726 , y_odom : -0.0859398424301888
19/01/2023 17:29:57 => x_odom : 0.4004446606208192 , y_odom : -0.08756431769810598
19/01/2023 17:29:57 => x_odom : 0.4037488557409575 , y_odom : -0.08921630942286628
19/01/2023 17:29:57 => x_odom : 0.4038835201720314 , y_odom : -0.08928441233401747
19/01/2023 17:29:57 => x_odom : 0.40690062100650604 , y_odom : -0.0908110759350638
19/01/2023 17:29:57 => x_odom : 0.4100495109948267 , y_odom : -0.09242426396681722
19/01/2023 17:29:57 => x_odom : 0.4102858781786195 , y_odom : -0.0925469221225971
19/01/2023 17:29:57 => x_odom : 0.41317636653829387 , y_odom : -0.09404833079197086
19/01/2023 17:29:57 => x_odom : 0.4163169979537486 , y_odom : -0.09569893974455253
19/01/2023 17:29:57 => x_odom : 0.41641537049410265 , y_odom : -0.09575130190671963
19/01/2023 17:29:57 => x_odom : 0.41942651696628824 , y_odom : -0.0973547252456368
19/01/2023 17:29:57 => x_odom : 0.4225499397235958 , y_odom : -0.09903822660157506
19/01/2023 17:29:57 => x_odom : 0.425645425700651 , y_odom : -0.10072770285970886
19/01/2023 17:29:57 => x_odom : 0.42573979291648006 , y_odom : -0.10077984818376297
19/01/2023 17:29:57 => x_odom : 0.4288058332633066 , y_odom : -0.10247471860107078
19/01/2023 17:29:57 => x_odom : 0.4319298654137121 , y_odom : -0.10422211557239258
