19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.307
19/01/2023 17:29:56 => Encoder Linear : 0.249 , Encoder Angular : -0.304
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.25 , Encoder Angular : -0.299
19/01/2023 17:29:56 => Encoder Linear : 0.243 , Encoder Angular : -0.265
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.238 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.27
19/01/2023 17:29:56 => Encoder Linear : 0.234 , Encoder Angular : -0.277
19/01/2023 17:29:56 => Encoder Linear : 0.234 , Encoder Angular : -0.277
19/01/2023 17:29:56 => Encoder Linear : 0.234 , Encoder Angular : -0.277
19/01/2023 17:29:56 => Encoder Linear : 0.234 , Encoder Angular : -0.277
19/01/2023 17:29:56 => Encoder Linear : 0.234 , Encoder Angular : -0.277
19/01/2023 17:29:56 => Encoder Linear : 0.234 , Encoder Angular : -0.277
19/01/2023 17:29:56 => Encoder Linear : 0.234 , Encoder Angular : -0.277
19/01/2023 17:29:56 => Encoder Linear : 0.234 , Encoder Angular : -0.277
19/01/2023 17:29:56 => Encoder Linear : 0.234 , Encoder Angular : -0.277
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.281
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.235 , Encoder Angular : -0.28
19/01/2023 17:29:56 => Encoder Linear : 0.233 , Encoder Angular : -0.27
19/01/2023 17:29:56 => Encoder Linear : 0.23 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.23 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.23 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.23 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.23 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.23 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.23 , Encoder Angular : -0.285
19/01/2023 17:29:56 => Encoder Linear : 0.23 , Encoder Angular : -0.285
19/01/2023 17:29:57 => Encoder Linear : 0.23 , Encoder Angular : -0.285
19/01/2023 17:29:57 => Encoder Linear : 0.23 , Encoder Angular : -0.286
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.221 , Encoder Angular : -0.327
19/01/2023 17:29:57 => Encoder Linear : 0.222 , Encoder Angular : -0.33
19/01/2023 17:29:57 => Encoder Linear : 0.224 , Encoder Angular : -0.32
19/01/2023 17:29:57 => Encoder Linear : 0.224 , Encoder Angular : -0.32
19/01/2023 17:29:57 => Encoder Linear : 0.224 , Encoder Angular : -0.32
19/01/2023 17:29:57 => Encoder Linear : 0.224 , Encoder Angular : -0.32
19/01/2023 17:29:57 => Encoder Linear : 0.224 , Encoder Angular : -0.32
19/01/2023 17:29:57 => Encoder Linear : 0.224 , Encoder Angular : -0.32
19/01/2023 17:29:57 => Encoder Linear : 0.224 , Encoder Angular : -0.32
19/01/2023 17:29:57 => Encoder Linear : 0.224 , Encoder Angular : -0.32
19/01/2023 17:29:57 => Encoder Linear : 0.224 , Encoder Angular : -0.32
19/01/2023 17:31:21 => Encoder Linear : 0.004 , Encoder Angular : -0.021
19/01/2023 17:31:21 => Encoder Linear : 0.022 , Encoder Angular : 0.063
19/01/2023 17:31:21 => Encoder Linear : 0.022 , Encoder Angular : 0.063
19/01/2023 17:31:21 => Encoder Linear : 0.022 , Encoder Angular : 0.063
19/01/2023 17:31:21 => Encoder Linear : 0.022 , Encoder Angular : 0.063
19/01/2023 17:31:21 => Encoder Linear : 0.022 , Encoder Angular : 0.063
19/01/2023 17:31:21 => Encoder Linear : 0.022 , Encoder Angular : 0.063
19/01/2023 17:31:21 => Encoder Linear : 0.022 , Encoder Angular : 0.063
19/01/2023 17:31:21 => Encoder Linear : 0.022 , Encoder Angular : 0.063
19/01/2023 17:31:21 => Encoder Linear : 0.022 , Encoder Angular : 0.063
19/01/2023 17:31:22 => Encoder Linear : 0.127 , Encoder Angular : -0.439
19/01/2023 17:31:22 => Encoder Linear : 0.192 , Encoder Angular : -0.128
19/01/2023 17:31:22 => Encoder Linear : 0.192 , Encoder Angular : -0.128
19/01/2023 17:31:22 => Encoder Linear : 0.192 , Encoder Angular : -0.128
19/01/2023 17:31:22 => Encoder Linear : 0.192 , Encoder Angular : -0.128
19/01/2023 17:31:22 => Encoder Linear : 0.192 , Encoder Angular : -0.128
19/01/2023 17:31:22 => Encoder Linear : 0.192 , Encoder Angular : -0.128
19/01/2023 17:31:22 => Encoder Linear : 0.192 , Encoder Angular : -0.128
19/01/2023 17:31:22 => Encoder Linear : 0.192 , Encoder Angular : -0.128
19/01/2023 17:31:22 => Encoder Linear : 0.192 , Encoder Angular : -0.128
19/01/2023 17:31:22 => Encoder Linear : 0.248 , Encoder Angular : -0.393
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.286 , Encoder Angular : -0.213
19/01/2023 17:31:22 => Encoder Linear : 0.266 , Encoder Angular : -0.119
19/01/2023 17:31:22 => Encoder Linear : 0.245 , Encoder Angular : -0.222
19/01/2023 17:31:22 => Encoder Linear : 0.245 , Encoder Angular : -0.222
19/01/2023 17:31:22 => Encoder Linear : 0.245 , Encoder Angular : -0.222
19/01/2023 17:31:22 => Encoder Linear : 0.245 , Encoder Angular : -0.222
19/01/2023 17:31:22 => Encoder Linear : 0.245 , Encoder Angular : -0.222
19/01/2023 17:31:22 => Encoder Linear : 0.245 , Encoder Angular : -0.222
19/01/2023 17:31:22 => Encoder Linear : 0.245 , Encoder Angular : -0.222
19/01/2023 17:31:22 => Encoder Linear : 0.245 , Encoder Angular : -0.222
19/01/2023 17:31:22 => Encoder Linear : 0.245 , Encoder Angular : -0.222
19/01/2023 17:31:22 => Encoder Linear : 0.257 , Encoder Angular : -0.278
19/01/2023 17:31:22 => Encoder Linear : 0.253 , Encoder Angular : -0.296
19/01/2023 17:31:22 => Encoder Linear : 0.253 , Encoder Angular : -0.296
19/01/2023 17:31:22 => Encoder Linear : 0.253 , Encoder Angular : -0.296
19/01/2023 17:31:22 => Encoder Linear : 0.253 , Encoder Angular : -0.296
19/01/2023 17:31:22 => Encoder Linear : 0.253 , Encoder Angular : -0.296
19/01/2023 17:31:22 => Encoder Linear : 0.253 , Encoder Angular : -0.296
19/01/2023 17:31:22 => Encoder Linear : 0.253 , Encoder Angular : -0.296
19/01/2023 17:31:22 => Encoder Linear : 0.253 , Encoder Angular : -0.296
19/01/2023 17:31:22 => Encoder Linear : 0.253 , Encoder Angular : -0.296
19/01/2023 17:31:22 => Encoder Linear : 0.263 , Encoder Angular : -0.345
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.251 , Encoder Angular : -0.401
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.267 , Encoder Angular : -0.325
19/01/2023 17:31:22 => Encoder Linear : 0.265 , Encoder Angular : -0.314
19/01/2023 17:31:22 => Encoder Linear : 0.256 , Encoder Angular : -0.358
19/01/2023 17:31:22 => Encoder Linear : 0.256 , Encoder Angular : -0.358
19/01/2023 17:31:22 => Encoder Linear : 0.256 , Encoder Angular : -0.358
19/01/2023 17:31:22 => Encoder Linear : 0.256 , Encoder Angular : -0.358
19/01/2023 17:31:22 => Encoder Linear : 0.256 , Encoder Angular : -0.358
19/01/2023 17:31:22 => Encoder Linear : 0.256 , Encoder Angular : -0.358
19/01/2023 17:31:22 => Encoder Linear : 0.256 , Encoder Angular : -0.358
19/01/2023 17:31:22 => Encoder Linear : 0.256 , Encoder Angular : -0.358
19/01/2023 17:31:22 => Encoder Linear : 0.256 , Encoder Angular : -0.358
19/01/2023 17:31:22 => Encoder Linear : 0.25 , Encoder Angular : -0.328
19/01/2023 17:31:22 => Encoder Linear : 0.258 , Encoder Angular : -0.288
19/01/2023 17:31:22 => Encoder Linear : 0.258 , Encoder Angular : -0.288
19/01/2023 17:31:22 => Encoder Linear : 0.258 , Encoder Angular : -0.288
19/01/2023 17:31:22 => Encoder Linear : 0.258 , Encoder Angular : -0.288
19/01/2023 17:31:22 => Encoder Linear : 0.258 , Encoder Angular : -0.288
19/01/2023 17:31:22 => Encoder Linear : 0.258 , Encoder Angular : -0.288
19/01/2023 17:31:22 => Encoder Linear : 0.258 , Encoder Angular : -0.288
19/01/2023 17:31:22 => Encoder Linear : 0.26 , Encoder Angular : -0.294
19/01/2023 17:31:22 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:22 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:22 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:22 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:22 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:22 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:23 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:23 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:23 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:23 => Encoder Linear : 0.261 , Encoder Angular : -0.29
19/01/2023 17:31:23 => Encoder Linear : 0.257 , Encoder Angular : -0.272
19/01/2023 17:31:23 => Encoder Linear : 0.255 , Encoder Angular : -0.281
19/01/2023 17:31:23 => Encoder Linear : 0.255 , Encoder Angular : -0.281
19/01/2023 17:31:23 => Encoder Linear : 0.255 , Encoder Angular : -0.281
19/01/2023 17:31:23 => Encoder Linear : 0.255 , Encoder Angular : -0.281
19/01/2023 17:31:23 => Encoder Linear : 0.255 , Encoder Angular : -0.281
19/01/2023 17:31:23 => Encoder Linear : 0.255 , Encoder Angular : -0.281
19/01/2023 17:31:23 => Encoder Linear : 0.255 , Encoder Angular : -0.281
19/01/2023 17:31:23 => Encoder Linear : 0.255 , Encoder Angular : -0.281
19/01/2023 17:31:23 => Encoder Linear : 0.255 , Encoder Angular : -0.281
19/01/2023 17:31:23 => Encoder Linear : 0.251 , Encoder Angular : -0.262
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.269
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.269
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.269
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.269
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.269
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.269
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.269
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.269
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.269
19/01/2023 17:31:23 => Encoder Linear : 0.251 , Encoder Angular : -0.277
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.285
19/01/2023 17:31:23 => Encoder Linear : 0.249 , Encoder Angular : -0.283
19/01/2023 17:31:23 => Encoder Linear : 0.248 , Encoder Angular : -0.288
19/01/2023 17:31:23 => Encoder Linear : 0.248 , Encoder Angular : -0.288
19/01/2023 17:31:23 => Encoder Linear : 0.248 , Encoder Angular : -0.288
